typeCorrect,typedAnswer,timeStart,timeEnd,timeTakenInSec,isCorrect
meat,meeattt,2025-01-20 22:43:12,2025-01-20 22:43:16,4.0330140590667725,False
major,majore,2025-01-20 22:43:16,2025-01-20 22:44:06,49.7958242893219,False
associate,,2025-01-20 22:46:43,2025-01-20 22:47:15,31.3599112033844,False
"announce, announced","announce, announced",2025-01-20 22:48:59,2025-01-20 22:49:05,6.19755482673645,True
carefully,carefullyyy,2025-01-20 22:49:05,2025-01-20 22:49:31,25.76709508895874,False
function,fucntion,2025-01-20 22:51:00,2025-01-20 22:51:07,7.604708194732666,False
ground,ground,2025-01-20 22:51:07,2025-01-20 22:51:29,21.274731159210205,True
associate,abc,2025-01-20 22:53:29,2025-01-20 22:53:33,3.783961772918701,False
carefully,carefully,2025-01-20 23:01:04,2025-01-20 23:01:11,7.367853164672852,True
associate,asseer,2025-01-20 23:01:11,2025-01-20 23:01:25,13.024995803833008,False
